generation,best,mean,worst
60,77.492495,79.933495,124.751714
61,77.492495,78.535996,112.982484
62,77.492495,79.056162,125.394280
63,77.492495,80.012289,128.711414
64,77.492495,79.106423,120.926292
65,77.492495,79.300094,116.131677
66,77.492495,80.665476,133.329423
67,77.492495,78.763937,122.071227
68,77.492495,79.265763,110.841928
69,77.492495,80.401164,137.088029
70,77.492495,78.177313,111.610939
71,77.492495,79.729707,117.711241
72,77.492495,81.604936,131.820171
73,77.492495,79.602479,124.751714
74,77.492495,78.220547,98.513823
75,77.492495,78.565372,122.779051
76,77.492495,78.691809,109.982225
77,77.492495,79.815982,125.957430
78,77.492495,78.728288,109.407080
79,77.492495,79.126485,126.618868
80,77.492495,78.580866,108.875405
81,77.492495,79.204075,127.862798
82,77.492495,80.109064,118.005517
83,77.492495,79.331871,122.071227
84,77.492495,79.413107,137.088029
85,77.492495,78.928087,128.657920
86,77.492495,79.666112,133.329423
87,77.492495,79.420642,129.508801
88,77.492495,77.887340,95.676937
89,77.492495,79.169011,131.820171
90,77.492495,78.509612,119.939074
91,77.492495,80.285025,137.088029
92,77.492495,79.543080,119.292758
93,77.492495,79.999789,117.559636
94,77.492495,79.398915,122.363841
95,77.492495,80.805213,126.618868
96,77.492495,78.869504,125.957430
97,77.492495,79.669289,124.751714
98,77.492495,80.083925,129.508801
99,77.492495,79.254522,120.125024
100,77.492495,80.345096,122.363841
101,77.492495,80.029601,129.503998
102,77.492495,80.076910,125.957430
103,77.492495,81.363032,133.329423
104,77.492495,80.089098,128.657920
105,77.492495,80.940781,129.508801
106,77.492495,80.717836,120.820235
107,77.492495,78.844374,113.072705
108,77.492495,80.662254,129.503998
109,77.492495,78.768428,125.394280
110,77.492495,78.700512,103.849015
111,77.492495,79.153910,127.862798
112,77.492495,80.554928,137.088029
113,77.492495,80.335228,126.618868
114,77.492495,77.942647,92.584136
115,77.492495,79.235396,119.292758
116,77.492495,79.946035,129.508801
117,77.492495,79.239688,117.559636
118,77.492495,80.347574,120.820235
119,77.492495,79.123098,122.363841
120,77.492495,79.634845,120.820235
121,77.492495,79.329770,125.394280
122,77.492495,79.764997,129.503998
123,77.492495,80.131109,120.042316
124,77.492495,79.821578,128.711414
125,77.492495,79.769622,115.129136
126,77.492495,79.606186,129.503998
127,77.492495,79.465772,129.508801
128,77.492495,79.247589,124.751714
129,77.492495,81.102464,137.088029
130,77.492495,80.127495,128.657920
131,77.492495,79.340880,128.711414
132,77.492495,78.876135,122.071227
133,77.492495,78.663168,119.939074
134,77.492495,79.590128,137.088029
135,77.492495,80.448796,122.779051
136,77.492495,79.888227,116.183749
137,77.492495,78.667541,122.071227
138,77.492495,81.799087,137.088029
139,77.492495,78.980157,128.657920
140,77.492495,79.575225,125.957430
141,77.492495,79.984123,126.618868
142,77.492495,79.346151,112.501436
143,77.492495,78.798121,128.711414
144,77.492495,78.331185,106.044680
145,77.492495,79.497803,125.394280
146,77.492495,78.325370,95.709589
147,77.492495,79.263092,117.816101
148,77.492495,79.959275,129.503998
149,77.492495,78.633946,108.322287
150,77.492495,79.912809,125.957430
151,77.492495,79.622936,125.957430
152,77.492495,78.647045,120.125024
153,77.492495,78.851702,122.779051
154,77.492495,80.582337,127.862798
155,77.492495,79.725785,128.657920
156,77.492495,80.186552,122.779051
157,77.492495,80.077139,129.503998
158,77.492495,80.848914,137.088029
159,77.492495,79.201860,126.618868
160,77.492495,78.788303,120.125024
161,77.492495,78.959807,113.164286
162,77.492495,79.904421,120.042316
163,77.492495,79.081184,122.071227
164,77.492495,79.233941,126.618868
165,77.492495,79.281655,120.820235
166,77.492495,79.308712,120.820235
167,77.492495,80.183866,129.503998
168,77.492495,80.714087,137.088029
169,77.492495,79.357352,129.503998
170,77.492495,79.417722,137.088029
171,77.492495,79.190438,125.394280
172,77.492495,79.641798,127.862798
173,77.492495,79.123998,124.751714
174,77.492495,79.239107,119.939074
175,77.492495,79.888965,133.329423
176,77.492495,79.065094,113.601791
177,77.492495,78.573665,127.862798
178,77.492495,78.645737,108.007329
179,77.492495,78.810404,129.508801
180,77.492495,80.162789,129.508801
181,77.492495,79.023528,120.125024
182,77.492495,81.364728,129.508801
183,77.492495,79.912034,112.662457
184,77.492495,80.347673,120.042316
185,77.492495,79.316871,117.559636
186,77.492495,80.346887,133.329423
187,77.492495,78.768436,117.711241
188,77.492495,79.275494,120.042316
189,77.492495,78.787503,110.048792
190,77.492495,79.644326,120.042316
191,77.492495,80.155817,125.957430
192,77.492495,79.191095,128.657920
193,77.492495,79.897973,131.820171
194,77.492495,79.050297,116.209460
195,77.492495,79.128839,131.820171
196,77.492495,79.151577,120.125024
197,77.492495,78.234933,97.410407
198,77.492495,79.178592,133.329423
199,77.492495,79.121415,108.875405
200,77.492495,80.308217,128.711414
201,77.492495,78.523483,100.690030
202,77.492495,78.192396,105.931727
203,77.492495,78.491165,108.306248
204,77.492495,80.075213,137.088029
205,77.492495,79.803333,129.503998
206,77.492495,79.482853,127.862798
207,77.492495,79.159818,129.503998
208,77.492495,79.348661,125.394280
209,77.492495,78.963104,137.088029
210,77.492495,79.776046,120.125024
211,77.492495,79.555910,128.711414
212,77.492495,79.884255,133.329423
213,77.492495,79.677676,118.005517
214,77.492495,78.323079,97.410407
215,77.492495,80.654278,131.820171
216,77.492495,80.161283,122.071227
217,77.492495,78.410636,96.573350
218,77.492495,78.738411,127.862798
219,77.492495,79.353485,114.689740
220,77.492495,79.705614,124.751714
221,77.492495,80.922664,129.503998
222,77.492495,80.135289,114.689740
223,77.492495,80.402601,133.329423
224,77.492495,78.470645,113.164286
225,77.492495,79.352271,126.618868
226,77.492495,78.463923,110.048792
227,77.492495,78.820325,120.042316
228,77.492495,79.870740,127.862798
229,77.492495,78.700034,109.407080
230,77.492495,78.937155,108.007329
231,77.492495,81.191623,129.503998
232,77.492495,79.982459,122.779051
233,77.492495,79.612875,114.594567
234,77.492495,80.330171,129.508801
235,77.492495,79.238954,124.751714
236,77.492495,79.163936,125.394280
237,77.492495,79.357530,131.820171
238,77.492495,78.872334,114.689740
239,77.492495,80.405451,129.503998
240,77.492495,79.344133,116.131677
241,77.492495,78.531689,113.601791
242,77.492495,80.244019,129.503998
243,77.492495,79.764370,118.005517
244,77.492495,80.274988,119.939074
245,77.492495,79.778947,127.862798
246,77.492495,79.815837,124.751714
247,77.492495,79.569228,113.601791
248,77.492495,78.235725,117.711241
249,77.492495,79.459869,137.088029
250,77.492495,80.279979,137.088029
251,77.492495,79.981738,129.508801
252,77.492495,78.762667,113.453567
253,77.492495,79.543817,125.957430
254,77.492495,79.058589,129.508801
255,77.492495,78.818124,107.073485
256,77.492495,79.264960,108.007329
257,77.492495,79.353801,126.618868
258,77.492495,78.850057,137.088029
259,77.492495,79.010320,113.164286
260,77.492495,79.091626,124.751714
261,77.492495,79.984995,119.939074
262,77.492495,80.123248,129.508801
263,77.492495,79.244547,117.559636
264,77.492495,79.507259,133.329423
265,77.492495,79.420846,131.820171
266,77.492495,78.648021,108.306248
267,77.492495,80.184240,114.594567
268,77.492495,79.627158,129.508801
269,77.492495,78.381936,112.501436
270,77.492495,79.323766,114.033444
271,77.492495,78.938266,122.779051
272,77.492495,79.512946,129.508801
273,77.492495,78.952482,131.820171
274,77.492495,79.775011,125.957430
275,77.492495,78.031663,112.662457
276,77.492495,79.888219,128.657920
277,77.492495,78.618852,127.862798
278,77.492495,79.170711,127.862798
279,77.492495,78.948841,117.911588
280,77.492495,79.593467,129.503998
281,77.492495,78.698712,113.453567
282,77.492495,78.139495,91.601944
283,77.492495,79.567223,137.088029
284,77.492495,80.184517,120.926292
285,77.492495,79.014104,116.183749
286,77.492495,78.461330,108.604216
287,77.492495,79.550986,117.711241
288,77.492495,79.677687,124.751714
289,77.492495,81.040587,133.329423
290,77.492495,79.367799,120.820235
291,77.492495,78.642164,98.513823
292,77.492495,79.190601,125.957430
293,77.492495,81.395137,133.329423
294,77.492495,78.028980,108.875405
295,77.492495,78.611144,116.209460
296,77.492495,78.241105,124.751714
297,77.492495,78.601885,112.662457
298,77.492495,79.490899,129.508801
299,77.492495,78.535870,122.779051
300,77.492495,78.725782,133.329423
301,77.492495,77.901204,88.118059
302,77.492495,80.290990,117.911588
303,77.492495,78.181955,100.052754
304,77.492495,79.661099,127.862798
305,77.492495,78.741812,122.363841
306,77.492495,78.457257,133.329423
307,77.492495,79.486342,112.501436
308,77.492495,79.472703,117.559636
309,77.492495,80.700900,137.088029
310,77.492495,79.970191,129.503998
311,77.492495,78.877168,118.005517
312,77.492495,80.610036,126.618868
313,77.492495,79.661392,131.820171
314,77.492495,79.579122,129.503998
315,77.492495,80.168433,133.329423
316,77.492495,79.479632,131.820171
317,77.492495,78.886664,128.711414
318,77.492495,79.229829,127.862798
319,77.492495,79.165337,120.042316
320,77.492495,78.986928,122.071227
321,77.492495,79.512595,114.689740
322,77.492495,82.532877,137.088029
323,77.492495,78.799477,110.498020
324,77.492495,78.620877,117.911588
325,77.492495,80.128471,137.088029
326,77.492495,80.209999,129.508801
327,77.492495,80.083791,125.957430
328,77.492495,79.009231,121.226669
329,77.492495,79.085550,109.982225
330,77.492495,78.874947,117.559636
331,77.492495,78.061390,93.139972
332,77.492495,79.267292,122.363841
333,77.492495,78.407811,119.292758
334,77.492495,78.989038,110.498020
335,77.492495,79.502949,122.779051
336,77.492495,78.731533,110.048792
337,77.492495,78.637452,107.073485
338,77.492495,79.242289,119.939074
339,77.492495,79.311548,115.129136
340,77.492495,78.834535,127.862798
341,77.492495,78.537870,114.594567
342,77.492495,78.739185,108.306248
343,77.492495,79.122723,126.618868
344,77.492495,79.383651,125.957430
345,77.492495,79.788547,114.033444
346,77.492495,78.347689,117.711241
347,77.492495,78.355526,118.005517
348,77.492495,79.597996,117.711241
349,77.492495,80.497221,133.329423
350,77.492495,79.630579,131.820171
351,77.492495,78.901818,129.503998
352,77.492495,79.066719,116.183749
353,77.492495,80.716068,131.820171
354,77.492495,78.780658,137.088029
355,77.492495,79.908899,121.226669
356,77.492495,79.443194,129.503998
357,77.492495,80.977609,125.394280
358,77.492495,78.878350,122.363841
359,77.492495,78.959091,127.862798
360,77.492495,80.096696,124.751714
361,77.492495,79.947037,128.657920
362,77.492495,78.914039,122.071227
363,77.492495,78.193375,122.779051
364,77.492495,79.701473,129.508801
365,77.492495,79.567078,122.071227
366,77.492495,79.259597,114.594567
367,77.492495,79.894263,137.088029
368,77.492495,80.560385,131.820171
369,77.492495,79.951741,129.503998
370,77.492495,78.992303,127.862798
371,77.492495,80.536137,133.329423
372,77.492495,81.205518,137.088029
373,77.492495,80.289765,128.711414
374,77.492495,78.727271,128.657920
375,77.492495,80.055247,128.657920
376,77.492495,79.604000,116.131677
377,77.492495,80.582707,137.088029
378,77.492495,78.187097,112.925449
379,77.492495,78.988327,109.407080
380,77.492495,79.616547,129.503998
381,77.492495,80.467306,129.503998
382,77.492495,80.107673,124.751714
383,77.492495,78.809473,128.711414
384,77.492495,79.751098,119.292758
385,77.492495,78.797012,112.662457
386,77.492495,79.158457,121.226669
387,77.492495,79.907124,117.711241
388,77.492495,78.293913,129.503998
389,77.492495,80.940029,129.508801
390,77.492495,78.659007,105.663753
391,77.492495,79.084671,119.939074
392,77.492495,80.542941,131.820171
393,77.492495,80.558268,131.820171
394,77.492495,79.756057,126.618868
395,77.492495,78.639765,129.503998
396,77.492495,78.024759,101.752272
397,77.492495,78.229263,109.982225
398,77.492495,79.874301,133.329423
399,77.492495,78.764772,120.125024
400,77.492495,78.254492,104.803711
401,77.492495,79.551341,119.939074
402,77.492495,78.956969,111.610939
403,77.492495,78.860849,117.816101
404,77.492495,80.258883,137.088029
405,77.492495,79.614845,113.601791
406,77.492495,79.529541,116.209460
407,77.492495,79.363849,114.594567
408,77.492495,80.074372,129.503998
409,77.492495,79.315170,127.862798
410,77.492495,79.336097,121.226669
411,77.492495,80.113929,117.559636
412,77.492495,79.795295,120.125024
413,77.492495,78.830983,128.657920
414,77.492495,79.035229,129.503998
415,77.492495,79.891644,125.957430
416,77.492495,79.756997,117.911588
417,77.492495,79.108103,125.957430
418,77.492495,78.415617,114.689740
419,77.492495,80.142426,122.071227
420,77.492495,79.642613,133.329423
421,77.492495,78.771996,121.226669
422,77.492495,79.615290,133.329423
423,77.492495,80.088444,137.088029
424,77.492495,78.941797,119.939074
425,77.492495,79.614873,125.957430
426,77.492495,79.276832,120.926292
427,77.492495,78.149866,117.911588
428,77.492495,79.354427,131.820171
429,77.492495,78.936676,122.071227
430,77.492495,79.226364,114.033444
431,77.492495,78.888877,109.982225
432,77.492495,79.041912,108.306248
433,77.492495,80.582124,126.618868
434,77.492495,79.749205,117.816101
435,77.492495,78.532026,121.226669
436,77.492495,79.114602,133.329423
437,77.492495,80.577946,120.042316
438,77.492495,78.980143,131.820171
439,77.492495,79.781435,116.183749
440,77.492495,81.571377,137.088029
441,77.492495,80.126419,129.508801
442,77.492495,78.715859,108.875405
443,77.492495,79.663095,122.363841
444,77.492495,79.251400,126.618868
445,77.492495,79.278378,122.071227
446,77.492495,79.680981,121.226669
447,77.492495,78.974631,113.164286
448,77.492495,79.997989,129.503998
449,77.492495,79.979301,114.033444
450,77.492495,80.228201,122.071227
451,77.492495,80.529650,122.363841
452,77.492495,79.355465,117.816101
453,77.492495,78.708583,100.248364
454,77.492495,78.855304,119.939074
455,77.492495,79.739201,128.657920
456,77.492495,78.335994,98.334441
457,77.492495,79.083490,112.925449
458,77.492495,78.930958,129.503998
459,77.492495,79.222002,117.559636
460,77.492495,79.499568,128.657920
461,77.492495,79.454691,128.711414
462,77.492495,79.027440,125.394280
463,77.492495,79.993581,117.559636
464,77.492495,79.309390,129.503998
465,77.492495,79.144083,115.129136
466,77.492495,78.320952,97.651255
467,77.492495,80.700590,133.329423
468,77.492495,81.795183,128.711414
469,77.492495,79.315690,127.862798
470,77.492495,78.621093,113.164286
471,77.492495,78.727943,108.322287
472,77.492495,78.380602,109.407080
473,77.492495,79.436133,137.088029
474,77.492495,78.630808,120.125024
475,77.492495,78.595497,109.407080
476,77.492495,80.350983,131.820171
477,77.492495,78.923726,126.618868
478,77.492495,79.572325,128.657920
479,77.492495,80.843740,137.088029
480,77.492495,79.274626,131.820171
481,77.492495,79.280775,113.164286
482,77.492495,80.117021,122.363841
483,77.492495,80.183099,128.711414
484,77.492495,80.289668,128.657920
485,77.492495,79.387936,129.508801
486,77.492495,79.990346,121.226669
487,77.492495,78.508113,127.862798
488,77.492495,80.188963,128.711414
489,77.492495,80.355647,121.226669
490,77.492495,79.558866,122.071227
491,77.492495,80.047160,137.088029
492,77.492495,79.457978,128.711414
493,77.492495,80.805567,129.508801
494,77.492495,79.461272,128.657920
495,77.492495,79.549654,120.042316
496,77.492495,79.835924,137.088029
497,77.492495,78.677996,100.693232
498,77.492495,79.271878,120.820235
499,77.492495,80.452064,133.329423
500,77.492495,80.678336,137.088029
501,77.492495,78.374170,94.886245
502,77.492495,79.721993,133.329423
503,77.492495,78.985350,118.005517
504,77.492495,79.764747,131.820171
505,77.492495,79.281316,129.508801
506,77.492495,79.404464,114.594567
507,77.492495,79.701052,116.183749
508,77.492495,79.337703,113.601791
509,77.492495,78.192983,112.925449
510,77.492495,79.577340,126.618868
511,77.492495,78.451688,108.007329
512,77.492495,79.238732,113.164286
513,77.492495,79.476210,121.226669
514,77.492495,79.980563,121.226669
515,77.492495,78.820480,131.820171
516,77.492495,83.153941,129.503998
517,77.492495,78.872271,116.209460
518,77.492495,79.638137,137.088029
519,77.492495,78.123940,90.790713
520,77.492495,79.041833,131.820171
521,77.492495,78.966295,117.816101
522,77.492495,79.332728,120.125024
523,77.492495,80.220494,126.618868
524,77.492495,79.883596,114.033444
525,77.492495,78.958903,124.751714
526,77.492495,78.806167,116.209460
527,77.492495,78.976024,109.982225
528,77.492495,79.083436,137.088029
529,77.492495,79.651211,121.226669
530,77.492495,80.023327,128.711414
531,77.492495,78.804004,104.803711
532,77.492495,80.540848,117.911588
533,77.492495,79.492851,124.751714
534,77.492495,78.781639,110.048792
535,77.492495,77.858248,88.118059
536,77.492495,79.003666,128.657920
537,77.492495,79.591001,133.329423
538,77.492495,80.203310,115.129136
539,77.492495,82.457262,133.329423
540,77.492495,79.612345,129.503998
541,77.492495,78.975105,112.925449
542,77.492495,79.766740,121.226669
543,77.492495,78.834660,112.925449
544,77.492495,79.324388,128.711414
545,77.492495,80.202621,129.503998
546,77.492495,78.735543,119.292758
547,77.492495,80.761256,137.088029
548,77.492495,80.271747,126.618868
549,77.492495,80.376878,128.657920
550,77.492495,79.500980,133.329423
551,77.492495,78.493812,103.398370
552,77.492495,80.554571,127.862798
553,77.492495,79.614215,128.711414
554,77.492495,77.734836,85.412158
555,77.492495,79.867397,129.503998
556,77.492495,79.597410,115.129136
557,77.492495,78.488645,113.601791
558,77.492495,80.195768,128.711414
